,date,home_team,score,away_team
189,01-09-2024,Corinthians,2 - 1,Flamengo RJ
190,15-09-2024,Botafogo FR,2 - 1,Corinthians
191,21-09-2024,Corinthians,3 - 0,Atlético GO
192,29-09-2024,São Paulo,3 - 1,Corinthians
193,05-10-2024,Corinthians,2 - 2,Internacional RS
194,17-10-2024,Corinthians,5 - 2,Athletico PR
195,28-10-2024,Cuiabá,0 - 1,Corinthians
196,04-11-2024,Corinthians,2 - 0,SE Palmeiras
197,09-11-2024,Vitória,1 - 2,Corinthians
198,13-04-2024,Criciúma,1 - 1,Juventude
199,17-04-2024,Atlético Mineiro,1 - 1,Criciúma
200,27-04-2024,Vasco da Gama,0 - 4,Criciúma
201,02-06-2024,Criciúma,1 - 2,SE Palmeiras
202,09-06-2024,Criciúma,2 - 5,Cuiabá
203,13-06-2024,Athletico PR,3 - 1,Criciúma
204,16-06-2024,Criciúma,2 - 2,EC Bahia
205,19-06-2024,Atlético GO,1 - 2,Criciúma
206,22-06-2024,Criciúma,2 - 1,Botafogo FR
207,27-06-2024,São Paulo,2 - 1,Criciúma
208,30-06-2024,Criciúma,1 - 1,Internacional RS
209,03-07-2024,Criciúma,1 - 0,Cruzeiro
210,07-07-2024,Vitória,2 - 1,Criciúma
211,11-07-2024,Criciúma,1 - 1,Fluminense FC
212,17-07-2024,Corinthians,2 - 1,Criciúma
213,20-07-2024,Flamengo RJ,2 - 1,Criciúma
214,24-07-2024,Criciúma,1 - 1,Fortaleza
215,27-07-2024,Juventude,1 - 2,Criciúma
216,03-08-2024,Criciúma,2 - 1,Atlético Mineiro
217,10-08-2024,Fortaleza,1 - 0,Criciúma
218,18-08-2024,Criciúma,2 - 2,Vasco da Gama
219,25-08-2024,Criciúma,0 - 1,Grêmio
220,28-08-2024,Criciúma,1 - 0,Bragantino
221,31-08-2024,Cuiabá,2 - 1,Criciúma
222,15-09-2024,SE Palmeiras,5 - 0,Criciúma
223,22-09-2024,Criciúma,0 - 0,Athletico PR
224,25-09-2024,Grêmio,1 - 2,Criciúma
225,29-09-2024,EC Bahia,1 - 0,Criciúma
226,03-10-2024,Criciúma,2 - 0,Atlético GO
227,18-10-2024,Botafogo FR,1 - 1,Criciúma
228,27-10-2024,Criciúma,1 - 1,São Paulo
229,06-11-2024,Internacional RS,2 - 0,Criciúma
230,09-11-2024,Cruzeiro,2 - 1,Criciúma
231,14-04-2024,Cruzeiro,3 - 2,Botafogo FR
232,17-04-2024,Fortaleza,1 - 1,Cruzeiro
233,21-04-2024,Atlético Mineiro,3 - 0,Cruzeiro
234,28-04-2024,Cruzeiro,3 - 1,Vitória
235,12-05-2024,Atlético GO,0 - 1,Cruzeiro
236,02-06-2024,São Paulo,2 - 0,Cruzeiro
237,13-06-2024,Cruzeiro,2 - 1,Cuiabá
238,16-06-2024,Vasco da Gama,0 - 0,Cruzeiro
239,20-06-2024,Cruzeiro,2 - 0,Fluminense FC
240,23-06-2024,EC Bahia,4 - 1,Cruzeiro
241,26-06-2024,Cruzeiro,2 - 0,Athletico PR
242,30-06-2024,Flamengo RJ,2 - 1,Cruzeiro
243,03-07-2024,Criciúma,1 - 0,Cruzeiro
244,07-07-2024,Cruzeiro,3 - 0,Corinthians
245,10-07-2024,Grêmio,0 - 2,Cruzeiro
246,13-07-2024,Cruzeiro,2 - 1,Bragantino
247,21-07-2024,SE Palmeiras,2 - 0,Cruzeiro
248,24-07-2024,Cruzeiro,2 - 0,Juventude
249,28-07-2024,Botafogo FR,0 - 3,Cruzeiro
250,06-08-2024,Cruzeiro,1 - 2,Fortaleza
251,11-08-2024,Cruzeiro,0 - 0,Atlético Mineiro
252,19-08-2024,Vitória,2 - 2,Cruzeiro
253,25-08-2024,Internacional RS,1 - 0,Cruzeiro
254,28-08-2024,Cruzeiro,0 - 0,Internacional RS
255,01-09-2024,Cruzeiro,3 - 1,Atlético GO
256,15-09-2024,Cruzeiro,0 - 1,São Paulo
257,22-09-2024,Cuiabá,0 - 0,Cruzeiro
258,29-09-2024,Cruzeiro,1 - 1,Vasco da Gama
259,04-10-2024,Fluminense FC,1 - 0,Cruzeiro
260,19-10-2024,Cruzeiro,1 - 1,EC Bahia
261,26-10-2024,Athletico PR,3 - 0,Cruzeiro
262,07-11-2024,Cruzeiro,0 - 1,Flamengo RJ
263,09-11-2024,Cruzeiro,2 - 1,Criciúma
264,14-04-2024,Athletico PR,4 - 0,Cuiabá
265,20-04-2024,Grêmio,1 - 0,Cuiabá
266,27-04-2024,Cuiabá,0 - 3,Atlético Mineiro
267,05-05-2024,Cuiabá,0 - 2,SE Palmeiras
268,01-06-2024,Cuiabá,0 - 1,Internacional RS
269,05-06-2024,Cuiabá,0 - 0,Vitória
270,09-06-2024,Criciúma,2 - 5,Cuiabá
271,13-06-2024,Cruzeiro,2 - 1,Cuiabá
272,16-06-2024,Cuiabá,5 - 0,Fortaleza
273,19-06-2024,São Paulo,0 - 1,Cuiabá
274,22-06-2024,Cuiabá,0 - 0,Atlético GO
275,26-06-2024,Corinthians,1 - 1,Cuiabá
276,29-06-2024,Cuiabá,1 - 1,Bragantino
277,03-07-2024,Cuiabá,1 - 2,Botafogo FR
278,06-07-2024,Flamengo RJ,1 - 1,Cuiabá
279,13-07-2024,EC Bahia,1 - 2,Cuiabá
280,21-07-2024,Cuiabá,0 - 1,Fluminense FC
281,28-07-2024,Cuiabá,1 - 2,Athletico PR
282,03-08-2024,Vitória,1 - 0,Cuiabá
283,10-08-2024,Cuiabá,1 - 3,Grêmio
